problem,obs,metric,scores,real_goal,pred_goal,correct,correct_num
output/hanoi_gr/,0.1,MaxUtil,"[-0.025599999999999953, -0.05767982263403154, -0.0016379972995421588, -0.025599999999999953]",0,1,False,0
output/hanoi_gr/,0.1,DP,"[-1, 0, 0, -1]",0,3,False,0
output/hanoi_gr/,0.1,KL,"[0.6415460290875237, 3.165442881051066, 2.1701930388457997, 0.6415460290875062]",0,3,False,0
output/hanoi_gr/,0.1,KL2,"[0.641450972442358, 3.1652728660902105, 2.1700514203448122, 0.6414509724423404]",0,3,False,0
output/hanoi_gr/,0.3,MaxUtil,"[-1.223999999999999, -0.013806323088051404, -0.004457829538652528, -0.6239998791150365]",0,0,True,1
output/hanoi_gr/,0.3,DP,"[-3, 0, 0, -2]",0,0,True,1
output/hanoi_gr/,0.3,KL,"[0.5612099958413238, 7.454279206722103, 2.24189183205725, 1.0018528022416058]",0,0,True,1
output/hanoi_gr/,0.3,KL2,"[0.561117548911754, 7.453988610456322, 2.241748115915904, 1.001747136027878]",0,0,True,1
output/hanoi_gr/,0.5,MaxUtil,"[-1.0783359999999993, -0.5716928347810362, -0.006191067636718199, -0.4783358791150368]",0,0,True,1
output/hanoi_gr/,0.5,DP,"[-4, 0, 0, -3]",0,0,True,1
output/hanoi_gr/,0.5,KL,"[0.4820121787976043, 5.70050002121331, 2.1199869913335165, 0.8124942835978097]",0,0,True,1
output/hanoi_gr/,0.5,KL2,"[0.48192629110183205, 5.700262912578702, 2.1198511728992986, 0.8123984814389188]",0,0,True,1
output/hanoi_gr/,0.7,MaxUtil,"[-0.6598399999999993, -0.2314577126520035, -0.007755934392380663, -0.6598399999999993]",0,3,False,0
output/hanoi_gr/,0.7,DP,"[-5, 0, 0, -5]",0,3,False,0
output/hanoi_gr/,0.7,KL,"[0.49694116938524646, 4.529958741360209, 2.2231794646280774, 0.4969411693852333]",0,3,False,0
output/hanoi_gr/,0.7,KL2,"[0.49685081022814953, 4.5297490631569115, 2.2230362907600103, 0.49685081022813626]",0,3,False,0
output/hanoi_gr/,1.0,MaxUtil,"[-1.6639359999999987, -0.6314577849619248, -0.010708758130527601, -1.0639358791150362]",0,0,True,1
output/hanoi_gr/,1.0,DP,"[-7, 0, 0, -6]",0,0,True,1
