problem,obs,metric,scores,real_goal,pred_goal,correct
output/blocks_gr/,0.1,MaxUtil,"[(0, -0.06399997877307731), (3, -0.00011152424910710441), (1, -4.7384112114222176e-07), (2, 0)]",0,0,True
output/blocks_gr/,0.1,DP,"[(0, -1), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr/,0.1,KL,"[(0, 0.2136591812174647), (1, 2.941088740884222), (2, nan), (3, 3.926630959283936)]",0,0,True
output/blocks_gr/,0.1,KL2,"[(0, 0.21358579533378672), (1, 2.940919962761799), (3, 3.9264285696011783), (2, 5.1285562928161195)]",0,0,True
output/blocks_gr/,0.3,MaxUtil,"[(2, -1.268827442186585), (0, -0.18969587367235008), (3, -0.004720212991946488), (1, -0.00010162636839846296)]",0,2,False
output/blocks_gr/,0.3,DP,"[(0, -3), (2, -2), (1, 0), (3, 0)]",0,0,True
output/blocks_gr/,0.3,KL,"[(0, 0.4530837292560346), (2, 1.4559071449674903), (3, 3.6322965794085653), (1, 3.951824568306199)]",0,0,True
output/blocks_gr/,0.3,KL2,"[(0, 0.4529800508450568), (2, 1.4557689442488322), (3, 3.632082301057805), (1, 3.9516014927566694)]",0,0,True
output/blocks_gr/,0.5,MaxUtil,"[(2, -0.6688274421865853), (0, -0.23833224610254444), (3, -0.005855944622586296), (1, -0.0001135672123422169)]",0,2,False
output/blocks_gr/,0.5,DP,"[(0, -4), (2, -2), (1, 0), (3, 0)]",0,0,True
output/blocks_gr/,0.5,KL,"[(0, 0.5721038314150603), (2, 1.4559071449674905), (1, 2.9485183606025003), (3, 3.685441476662146)]",0,0,True
output/blocks_gr/,0.5,KL2,"[(0, 0.5720013311206542), (2, 2.3739657813906545), (1, 2.948334275006871), (3, 3.6852308323346668)]",0,0,True
output/blocks_gr/,0.7,MaxUtil,"[(2, -1.6807992922881159), (0, -1.2639321208453298), (3, -0.0064516873587335925), (1, -0.000384950689550616)]",0,2,False
output/blocks_gr/,0.7,DP,"[(0, -6), (2, -3), (1, 0), (3, 0)]",0,0,True
output/blocks_gr/,0.7,KL,"[(0, 0.5141145608940797), (2, 1.7047788399949972), (1, 3.2949195677184595), (3, 4.2378127482340195)]",0,0,True
output/blocks_gr/,0.7,KL2,"[(0, 0.5140141118259239), (2, 2.2752878764595397), (1, 3.2947244421904927), (3, 4.237584048473735)]",0,0,True
output/blocks_gr/,1.0,MaxUtil,"[(2, -1.7924785378820987), (0, -1.6655705200388042), (3, -0.01669420248257082), (1, -0.0006945952920925434)]",0,2,False
output/blocks_gr/,1.0,DP,"[(0, -8), (2, -4), (1, 0), (3, 0)]",0,0,True
output/blocks_gr/,1.0,KL,"[(0, 0.5874186974333016), (2, 1.78018027601177), (1, 3.007897127277851), (3, 4.359178568391837)]",0,0,True
output/blocks_gr/,1.0,KL2,"[(0, 0.5873136557480785), (2, 2.1985970668929298), (1, 3.007709741171094), (3, 4.358943397849694)]",0,0,True
output/blocks_gr2/,0.1,MaxUtil,"[(0, -0.39999999999999963), (2, -4.1943039915673903e-05), (1, -1.8833358559147286e-05), (3, -1.8576906822443147e-15)]",0,0,True
output/blocks_gr2/,0.1,DP,"[(0, -1), (2, -1), (1, 0), (3, 0)]",0,2,False
output/blocks_gr2/,0.1,KL,"[(0, 0.4005379295255793), (2, 0.5878899429749025), (1, 6.690383796137896), (3, 23.725783022013903)]",0,0,True
output/blocks_gr2/,0.1,KL2,"[(0, 0.4004175248205519), (2, 0.587760010596074), (1, 6.689964412932398), (3, 23.72458017356996)]",0,0,True
output/blocks_gr2/,0.3,MaxUtil,"[(0, -1.0255999999999994), (1, -0.0040963244668956586), (2, -0.00010754195429183518), (3, -2.6828251520410592e-06)]",0,0,True
output/blocks_gr2/,0.3,DP,"[(0, -2), (2, -2), (1, -1), (3, -1)]",0,2,False
output/blocks_gr2/,0.3,KL,"[(3, 0.5302446869169981), (2, 0.7693934263976788), (0, 0.807331367248213), (1, 5.048364777773923)]",0,3,False
output/blocks_gr2/,0.3,KL2,"[(3, 0.26504109313302543), (2, 0.7692472391173573), (0, 0.8071832981166083), (1, 5.048021926716359)]",0,3,False
output/blocks_gr2/,0.5,MaxUtil,"[(0, -1.223999999999999), (1, -0.002194408517360762), (2, -0.00012834570206470567), (3, -5.268943135753749e-07)]",0,0,True
output/blocks_gr2/,0.5,DP,"[(0, -3), (2, -3), (1, 0), (3, 0)]",0,2,False
output/blocks_gr2/,0.5,KL,"[(2, 0.4907570938834789), (0, 0.510577425774882), (1, 5.381015920331248), (3, 7.524339304679071)]",0,2,False
output/blocks_gr2/,0.5,KL2,"[(2, 0.490621651146306), (0, 0.5104409212157313), (3, 5.01592163162957), (1, 5.380651561657646)]",0,2,False
output/blocks_gr2/,0.7,MaxUtil,"[(0, -1.5855999999999988), (1, -0.004670842703514386), (2, -0.00016626221008994834), (3, -2.6838560282233766e-06)]",0,0,True
output/blocks_gr2/,0.7,DP,"[(0, -4), (2, -4), (1, -1), (3, -1)]",0,2,False
output/blocks_gr2/,0.7,KL,"[(0, 0.6451994594995973), (2, 0.6683170054575899), (1, 5.047392062398851), (3, 11.747695471099895)]",0,0,True
output/blocks_gr2/,0.7,KL2,"[(0, 0.645059185135984), (2, 0.6681755440879792), (1, 5.0470456739603495), (3, 8.810284586240885)]",0,0,True
output/blocks_gr2/,1.0,MaxUtil,"[(0, -1.6495999999999986), (1, -0.0063092418759199), (2, -0.00017297309630581492), (3, -3.2097194674741245e-06)]",0,0,True
output/blocks_gr2/,1.0,DP,"[(0, -5), (2, -5), (1, -1), (3, -1)]",0,2,False
output/blocks_gr2/,1.0,KL,"[(0, 0.6292790023527706), (2, 0.6397385454957444), (1, 4.679804408531004), (3, 9.82617657957226)]",0,0,True
output/blocks_gr2/,1.0,KL2,"[(0, 0.629137871964639), (2, 0.6395968963968939), (1, 4.679473005859732), (3, 7.860489437258659)]",0,0,True
output/blocks_gr3/,0.1,MaxUtil,"[(2, -0.42559999998013154), (1, -0.0041486191835136774), (0, -4.462739454902325e-05), (3, -2.6960892382607896e-06)]",0,2,False
output/blocks_gr3/,0.1,DP,"[(0, -2), (2, -2), (1, -1), (3, -1)]",0,2,False
output/blocks_gr3/,0.1,KL,"[(2, 0.807331194175744), (0, 1.1625651276619307), (1, 2.769069514653695), (3, 3.489932495039981)]",0,2,False
output/blocks_gr3/,0.1,KL2,"[(2, 0.8071831250533557), (0, 1.1623997511116686), (1, 2.7688296193449107), (3, 3.4896632615274448)]",0,2,False
output/blocks_gr3/,0.3,MaxUtil,"[(2, -0.066196318399423), (0, -0.030620214886395547), (1, -0.0016383447800099678), (3, -1.0026865408124304e-06)]",0,2,False
output/blocks_gr3/,0.3,DP,"[(0, -5), (2, -1), (1, 0), (3, 0)]",0,0,True
output/blocks_gr3/,0.3,KL,"[(0, 0.5905736954776073), (2, 4.15556956774484), (1, 7.1894087700838325), (3, 10.687269049352517)]",0,0,True
output/blocks_gr3/,0.3,KL2,"[(0, 0.59043772777557), (2, 2.7788980295129293), (1, 4.3133812786946155), (3, 10.686670607465604)]",0,0,True
output/blocks_gr3/,0.5,MaxUtil,"[(2, -0.6495999999795525), (0, -0.571946515496944), (1, -0.006329821494357242), (3, -3.793513542430248e-06)]",0,2,False
output/blocks_gr3/,0.5,DP,"[(0, -8), (2, -4), (1, -1), (3, -1)]",0,0,True
output/blocks_gr3/,0.5,KL,"[(2, 0.6863323990432953), (0, 0.7096403607810429), (1, 3.0357542484088507), (3, 7.664703692618562)]",0,2,False
output/blocks_gr3/,0.5,KL2,"[(2, 0.3430868740507263), (0, 0.7094989956561936), (1, 1.5177407584750264), (3, 5.7481765984795)]",0,2,False
output/blocks_gr3/,0.7,MaxUtil,"[(0, -1.6023440128409434), (2, -1.0917963183795543), (1, -0.005735283714567098), (3, -3.6879864806495203e-06)]",0,0,True
output/blocks_gr3/,0.7,DP,"[(0, -11), (2, -3), (1, -1), (3, -1)]",0,0,True
output/blocks_gr3/,0.7,KL,"[(0, 0.55893900409875), (2, 2.48145046776442), (1, 5.163624175329101), (3, 9.632991209595392)]",0,0,True
output/blocks_gr3/,0.7,KL2,"[(0, 0.5588066147172782), (2, 0.902259040756541), (1, 1.877547970426402), (3, 7.005408478075569)]",0,0,True
output/blocks_gr3/,1.0,MaxUtil,"[(0, -1.6666648770969432), (2, -1.6517963183795519), (1, -0.00633078428576996), (3, -3.794465356291735e-06)]",0,0,True
output/blocks_gr3/,1.0,DP,"[(0, -15), (2, -5), (1, -1), (3, -1)]",0,0,True
output/blocks_gr3/,1.0,KL,"[(0, 0.5625453757448592), (2, 1.8153039404716884), (1, 5.5803437831787415), (3, 9.54241844386143)]",0,0,True
output/blocks_gr3/,1.0,KL2,"[(0, 0.5624139671355134), (2, 1.0983042785908748), (1, 2.603984181728948), (3, 7.633496069565845)]",0,0,True
output/blocks_gr4/,0.1,MaxUtil,"[(0, -0.06399999999999988), (3, -0.010239975868147452), (2, -0.0015953829601294603), (1, -3.2106149690898546e-05)]",0,0,True
output/blocks_gr4/,0.1,DP,"[(0, -1), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr4/,0.1,KL,"[(0, 0.4005379295837291), (3, 3.044396638554852), (2, 3.0748907274089876), (1, 3.312961046682029)]",0,0,True
output/blocks_gr4/,0.1,KL2,"[(0, 0.40044148614772007), (3, 3.044207660068653), (2, 3.074700723600574), (1, 3.312763407443961)]",0,0,True
output/blocks_gr4/,0.3,MaxUtil,"[(0, -1.0639999999999994), (3, -0.010507528052345233), (2, -0.0016055391292431169), (1, -3.210790133592664e-05)]",0,0,True
output/blocks_gr4/,0.3,DP,"[(0, -2), (1, 0), (2, 0), (3, 0)]",0,0,True
output/blocks_gr4/,0.3,KL,"[(0, 0.3073313674682882), (3, 3.505508669913729), (2, 4.188273434594491), (1, 6.7916184580342)]",0,0,True
output/blocks_gr4/,0.3,KL2,"[(0, 0.3072464434360541), (3, 3.5053123046168677), (2, 4.188053831877554), (1, 6.7913105531266815)]",0,0,True
output/blocks_gr4/,0.5,MaxUtil,"[(0, -1.1702399999999993), (3, -0.06835176339845338), (2, -0.01070464263889477), (1, -0.00026700656869120515)]",0,0,True
output/blocks_gr4/,0.5,DP,"[(0, -3), (3, -1), (1, 0), (2, 0)]",0,0,True
output/blocks_gr4/,0.5,KL,"[(0, 0.39341997026359926), (3, 2.526136590238441), (2, 3.987035768636849), (1, 6.332640200345433)]",0,0,True
output/blocks_gr4/,0.5,KL2,"[(0, 0.3933238717597456), (3, 2.525966180766348), (2, 3.9868149022577897), (1, 6.332338859924534)]",0,0,True
output/blocks_gr4/,0.7,MaxUtil,"[(0, -0.6598399999999993), (3, -0.10530693723692093), (2, -0.016464657732932715), (1, -0.0004013186816328861)]",0,0,True
output/blocks_gr4/,0.7,DP,"[(0, -5), (3, -1), (1, 0), (2, 0)]",0,0,True
output/blocks_gr4/,0.7,KL,"[(0, 0.4292790032457502), (3, 2.5873050979120964), (2, 3.4469615601323476), (1, 4.60198346179739)]",0,0,True
output/blocks_gr4/,0.7,KL2,"[(0, 0.4291783659668176), (3, 2.587128968528895), (2, 3.446755723254809), (1, 4.601738020276663)]",0,0,True
output/blocks_gr4/,1.0,MaxUtil,"[(0, -1.6598399999999986), (3, -0.10557448942111872), (2, -0.016474813902046373), (1, -0.0004013204332779142)]",0,0,True
output/blocks_gr4/,1.0,DP,"[(0, -6), (3, -1), (1, 0), (2, 0)]",0,0,True
output/blocks_gr4/,1.0,KL,"[(0, 0.3934199702635997), (3, 2.8171910318055144), (2, 3.7560773237402887), (1, 5.546698863062221)]",0,0,True
output/blocks_gr4/,1.0,KL2,"[(0, 0.39332387175974604), (3, 2.8170102986349264), (2, 3.7558642594047633), (1, 5.546424633365453)]",0,0,True
output/blocks_gr5/,0.1,MaxUtil,"[(1, -0.025599999998679557), (0, -0.025599999939361694), (3, -0.004038070761329133), (2, -0.0006520170640167806)]",0,1,False
output/blocks_gr5/,0.1,DP,"[(0, -1), (1, -1), (2, 0), (3, 0)]",0,1,False
output/blocks_gr5/,0.1,KL,"[(0, 0.7085228218135563), (1, 0.7115746311804748), (2, 3.3629605342662727), (3, 3.371495776570407)]",0,0,True
output/blocks_gr5/,0.1,KL2,"[(0, 0.7083834177460251), (1, 0.7114351040780827), (2, 3.362728207844147), (3, 3.37126317602616)]",0,0,True
output/blocks_gr5/,0.3,MaxUtil,"[(0, -0.0895999999385867), (1, -0.03583313995979276), (3, -0.004988577088316967), (2, -0.0008302350169405689)]",0,0,True
output/blocks_gr5/,0.3,DP,"[(0, -2), (1, -1), (2, 0), (3, 0)]",0,0,True
output/blocks_gr5/,0.3,KL,"[(0, 0.9611553512883768), (1, 2.2850626225068864), (2, 3.505574207745103), (3, 3.9143143457855087)]",0,0,True
output/blocks_gr5/,0.3,KL2,"[(0, 0.9610150576052501), (1, 2.284875983786811), (2, 3.5053452459354975), (3, 3.914071207960496)]",0,0,True
