correct,g0,g1,g2,g3,metric,obs,pred_goal,problem,real_goal
True,0.9166667,0.8333333,0.75,0.7,goalcompletion,0.7,0.0,5,0.0
True,1.0,0.7777778,0.5294118,0.3125,goalcompletion,1.0,0.0,2,0.0
False,0.7692308,0.61538464,0.9,0.8,goalcompletion,0.5,2.0,1,0.0
True,1.0,1.0,1.0,0.8125,goalcompletion,1.0,0.0,3,0.0
True,1.0,0.4,0.53846157,0.7,goalcompletion,1.0,0.0,10,0.0
True,0.6363636,0.26666668,0.46153846,0.6,goalcompletion,0.3,0.0,10,0.0
True,0.9166667,0.61538464,0.7,0.7,goalcompletion,0.7,0.0,4,0.0
True,1.0,0.75,0.8333333,1.0,goalcompletion,0.7,0.0,6,0.0
True,1.0,0.7692308,1.0,0.8,goalcompletion,1.0,0.0,1,0.0
False,0.7647059,0.90909094,1.0,0.625,goalcompletion,0.5,2.0,3,0.0
True,1.0,0.7777778,0.5294118,0.3125,goalcompletion,0.5,0.0,2,0.0
True,1.0,1.0,0.7058824,0.47058824,goalcompletion,0.7,0.0,7,0.0
False,0.9411765,0.90909094,1.0,0.8125,goalcompletion,0.7,2.0,3,0.0
True,1.0,0.6923077,0.7,0.7,goalcompletion,1.0,0.0,4,0.0
True,0.9166667,0.75,0.75,0.9,goalcompletion,0.5,0.0,6,0.0
False,0.8,0.8888889,0.5882353,0.5294118,goalcompletion,0.5,1.0,7,0.0
True,1.0,0.8333333,0.8333333,0.8,goalcompletion,1.0,0.0,5,0.0
True,1.0,0.7777778,0.5294118,0.3125,goalcompletion,0.7,0.0,2,0.0
True,1.0,1.0,0.7058824,0.47058824,goalcompletion,1.0,0.0,7,0.0
True,0.8333333,0.8333333,0.6666667,0.6,goalcompletion,0.5,0.0,5,0.0
True,0.9166667,0.6923077,0.7,0.7,goalcompletion,0.5,0.0,4,0.0
True,1.0,0.75,0.8333333,1.0,goalcompletion,1.0,0.0,6,0.0
True,1.0,0.7692308,1.0,0.8,goalcompletion,0.7,0.0,1,0.0
True,0.8181818,0.7777778,0.4117647,0.3125,goalcompletion,0.3,0.0,2,0.0
False,0.53333336,0.8888889,0.47058824,0.47058824,goalcompletion,0.1,1.0,7,0.0
False,0.5833333,0.5,0.5833333,0.7,goalcompletion,0.1,3.0,6,0.0
False,0.7058824,0.8181818,1.0,0.625,goalcompletion,0.3,2.0,3,0.0
False,0.6923077,0.46153846,1.0,0.8,goalcompletion,0.3,2.0,1,0.0
False,0.5833333,0.46153846,0.7,0.6,goalcompletion,0.1,2.0,4,0.0
True,0.6666667,0.6666667,0.5,0.6,goalcompletion,0.1,0.0,5,0.0
False,0.75,0.61538464,0.8,0.7,goalcompletion,0.3,2.0,4,0.0
False,0.53846157,0.53846157,0.6,0.6,goalcompletion,0.1,2.0,1,0.0
False,0.54545456,0.26666668,0.46153846,0.7,goalcompletion,0.1,3.0,10,0.0
True,0.75,0.6666667,0.5833333,0.7,goalcompletion,0.3,0.0,5,0.0
False,0.6666667,0.7777778,0.5294118,0.5294118,goalcompletion,0.3,1.0,7,0.0
False,0.72727275,0.7777778,0.3529412,0.3125,goalcompletion,0.1,1.0,2,0.0
False,0.3529412,0.72727275,0.7777778,0.3125,goalcompletion,0.1,2.0,3,0.0
True,0.6666667,0.6666667,0.6666667,0.6,goalcompletion,0.3,0.0,6,0.0
False,0.7058824,0.8888889,0.5882353,0.5882353,goalcompletion,0.3,1.0,8,0.0
False,0.7692308,0.75,0.8,0.8,goalcompletion,0.3,2.0,9,0.0
True,0.72727275,0.46666667,0.61538464,0.7,goalcompletion,0.5,0.0,10,0.0
False,0.47058824,0.7777778,0.47058824,0.47058824,goalcompletion,0.1,1.0,8,0.0
False,0.3846154,0.5833333,0.4,0.6,goalcompletion,0.1,3.0,9,0.0
False,0.7692308,0.9166667,0.7,0.6,goalcompletion,0.5,1.0,9,0.0
True,1.0,0.33333334,0.53846157,0.7,goalcompletion,0.7,0.0,10,0.0
False,0.88235295,1.0,0.8235294,0.5882353,goalcompletion,0.5,1.0,8,0.0
True,1.0,1.0,0.8235294,0.5882353,goalcompletion,1.0,0.0,8,0.0
True,1.0,0.8333333,1.0,0.8,goalcompletion,1.0,0.0,9,0.0
True,0.84615386,0.8333333,0.8,0.8,goalcompletion,0.7,0.0,9,0.0
True,0.9411765,0.8888889,0.8235294,0.5882353,goalcompletion,0.7,0.0,8,0.0
