problem,obs,metric,scores,real_goal,pred_goal,correct,correct_num
output/blocks_gr/,0.1,MaxUtil,"[-0.06399997877307731, -4.7384112114222176e-07, 0, -0.00011152424910710441]",0,0,True,1
output/blocks_gr/,0.1,DP,"[-1, 0, 0, 0]",0,0,True,1
output/blocks_gr/,0.1,KL,"[0.2136591812174647, 2.941088740884222, nan, 3.926630959283936]",0,0,True,1
output/blocks_gr/,0.1,KL2,"[0.21358579533378672, 2.940919962761799, 5.1285562928161195, 3.9264285696011783]",0,0,True,1
output/blocks_gr/,0.3,MaxUtil,"[-0.18969587367235008, -0.00010162636839846296, -1.268827442186585, -0.004720212991946488]",0,2,False,0
output/blocks_gr/,0.3,DP,"[-3, 0, -2, 0]",0,0,True,1
output/blocks_gr/,0.3,KL,"[0.4530837292560346, 3.951824568306199, 1.4559071449674903, 3.6322965794085653]",0,0,True,1
output/blocks_gr/,0.3,KL2,"[0.4529800508450568, 3.9516014927566694, 1.4557689442488322, 3.632082301057805]",0,0,True,1
output/blocks_gr/,0.5,MaxUtil,"[-0.23833224610254444, -0.0001135672123422169, -0.6688274421865853, -0.005855944622586296]",0,2,False,0
output/blocks_gr/,0.5,DP,"[-4, 0, -2, 0]",0,0,True,1
output/blocks_gr/,0.5,KL,"[0.5721038314150603, 2.9485183606025003, 1.4559071449674905, 3.685441476662146]",0,0,True,1
output/blocks_gr/,0.5,KL2,"[0.5720013311206542, 2.948334275006871, 2.3739657813906545, 3.6852308323346668]",0,0,True,1
output/blocks_gr/,0.7,MaxUtil,"[-1.2639321208453298, -0.000384950689550616, -1.6807992922881159, -0.0064516873587335925]",0,2,False,0
output/blocks_gr/,0.7,DP,"[-6, 0, -3, 0]",0,0,True,1
output/blocks_gr/,0.7,KL,"[0.5141145608940797, 3.2949195677184595, 1.7047788399949972, 4.2378127482340195]",0,0,True,1
output/blocks_gr/,0.7,KL2,"[0.5140141118259239, 3.2947244421904927, 2.2752878764595397, 4.237584048473735]",0,0,True,1
output/blocks_gr/,1.0,MaxUtil,"[-1.6655705200388042, -0.0006945952920925434, -1.7924785378820987, -0.01669420248257082]",0,2,False,0
output/blocks_gr/,1.0,DP,"[-8, 0, -4, 0]",0,0,True,1
output/blocks_gr/,1.0,KL,"[0.5874186974333016, 3.007897127277851, 1.78018027601177, 4.359178568391837]",0,0,True,1
output/blocks_gr/,1.0,KL2,"[0.5873136557480785, 3.007709741171094, 2.1985970668929298, 4.358943397849694]",0,0,True,1
output/blocks_gr2/,0.1,MaxUtil,"[-0.39999999999999963, -1.8833358559147286e-05, -4.1943039915673903e-05, -1.8576906822443147e-15]",0,0,True,1
output/blocks_gr2/,0.1,DP,"[-1, 0, -1, 0]",0,2,False,0
output/blocks_gr2/,0.1,KL,"[0.4005379295255793, 6.690383796137896, 0.5878899429749025, 23.725783022013903]",0,0,True,1
output/blocks_gr2/,0.1,KL2,"[0.4004175248205519, 6.689964412932398, 0.587760010596074, 23.72458017356996]",0,0,True,1
output/blocks_gr2/,0.3,MaxUtil,"[-1.0255999999999994, -0.0040963244668956586, -0.00010754195429183518, -2.6828251520410592e-06]",0,0,True,1
output/blocks_gr2/,0.3,DP,"[-2, -1, -2, -1]",0,2,False,0
output/blocks_gr2/,0.3,KL,"[0.807331367248213, 5.048364777773923, 0.7693934263976788, 0.5302446869169981]",0,3,False,0
output/blocks_gr2/,0.3,KL2,"[0.8071832981166083, 5.048021926716359, 0.7692472391173573, 0.26504109313302543]",0,3,False,0
output/blocks_gr2/,0.5,MaxUtil,"[-1.223999999999999, -0.002194408517360762, -0.00012834570206470567, -5.268943135753749e-07]",0,0,True,1
output/blocks_gr2/,0.5,DP,"[-3, 0, -3, 0]",0,2,False,0
output/blocks_gr2/,0.5,KL,"[0.510577425774882, 5.381015920331248, 0.4907570938834789, 7.524339304679071]",0,2,False,0
