problem,obs,metric,scores,real_goal,pred_goal,correct
output/skgrid_gr/,0.1,MaxUtil,"[(1, -0.1241632732219451), (0, -0.06404194303999988), (2, -0.006258199077664641), (3, -0.0018623864571932624)]",0,1,False
output/skgrid_gr/,0.1,DP,"[(0, -2), (1, -2), (2, -2), (3, 0)]",0,2,False
output/skgrid_gr/,0.1,KL,"[(0, 0.891204281829242), (1, 1.2635701634201115), (2, 1.3657834532016815), (3, 2.7536239101096616)]",0,0,True
output/skgrid_gr/,0.1,KL2,"[(0, 0.8911623954337131), (1, 1.2635267279085889), (2, 1.3657409832567655), (3, 2.7535776257800864)]",0,0,True
output/skgrid_gr/,0.3,MaxUtil,"[(1, -0.19061236888933958), (0, -0.1039289956022689), (2, -0.008208718704003323), (3, -0.0004839395572536028)]",0,1,False
output/skgrid_gr/,0.3,DP,"[(0, -4), (1, -4), (2, -4), (3, -1)]",0,2,False
output/skgrid_gr/,0.3,KL,"[(0, 0.6867555653991222), (1, 1.4621173819362414), (2, 1.5549662967757525), (3, 2.072200710513394)]",0,0,True
output/skgrid_gr/,0.3,KL2,"[(0, 0.6867026093103117), (1, 1.4620619681397993), (2, 1.5549128155438576), (3, 2.0721457716374583)]",0,0,True
output/skgrid_gr/,0.5,MaxUtil,"[(0, -1.4048515900284073), (1, -0.037261763513417104), (2, -0.012038156622750075), (3, -0.002693901821554791)]",0,0,True
output/skgrid_gr/,0.5,DP,"[(0, -6), (1, -2), (2, -2), (3, 0)]",0,0,True
output/skgrid_gr/,0.5,KL,"[(0, 0.7277572354890441), (2, 2.121032295938357), (1, 2.679507094712273), (3, 2.730371622796691)]",0,0,True
output/skgrid_gr/,0.5,KL2,"[(0, 0.7277191912703113), (2, 2.1209895669797683), (1, 2.6794616435307916), (3, 2.730326363442556)]",0,0,True
output/skgrid_gr/,0.7,MaxUtil,"[(0, -0.6655560160913143), (1, -0.2392386981628655), (2, -0.015055739834181384), (3, -0.0028954326716684672)]",0,0,True
output/skgrid_gr/,0.7,DP,"[(0, -9), (1, -2), (2, -2), (3, 0)]",0,0,True
output/skgrid_gr/,0.7,KL,"[(0, 0.8383677728176894), (1, 2.342099253603861), (2, 2.522113392083596), (3, 3.1485614315220505)]",0,0,True
output/skgrid_gr/,0.7,KL2,"[(0, 0.8383210676556321), (1, 2.34204702231543), (2, 2.5220618727513644), (3, 3.148507566309772)]",0,0,True
output/skgrid_gr/,1.0,MaxUtil,"[(0, -1.6664335312998872), (1, -0.2760572391389405), (2, -0.022196351394690325), (3, -0.0034512689464517433)]",0,0,True
output/skgrid_gr/,1.0,DP,"[(0, -12), (1, -3), (2, -2), (3, 0)]",0,0,True
output/skgrid_gr/,1.0,KL,"[(0, 0.8511866367936961), (1, 2.53239708726497), (2, 2.63420714844116), (3, 3.1997329728553403)]",0,0,True
output/skgrid_gr/,1.0,KL2,"[(0, 0.851141207867391), (1, 2.532345432546912), (2, 2.634156181665443), (3, 3.199679905363895)]",0,0,True
output/skgrid_gr2/,0.1,MaxUtil,"[(0, -0.06399999999999988), (3, -0.06399991842648114), (2, -0.025537502250717378), (1, -0.00409599999999507)]",0,0,True
output/skgrid_gr2/,0.1,DP,"[(0, -1), (1, -1), (2, -1), (3, -1)]",0,3,False
output/skgrid_gr2/,0.1,KL,"[(0, 0.565597175853614), (2, 1.2129496449463637), (1, 1.2141031506064521), (3, 1.2141252230677586)]",0,0,True
output/skgrid_gr2/,0.1,KL2,"[(0, 0.5655409846378449), (2, 1.212890845915329), (1, 1.2140443157579608), (3, 1.2140663879993967)]",0,0,True
output/skgrid_gr2/,0.3,MaxUtil,"[(0, -1.0646553599999993), (2, -0.4264842662863985), (1, -0.06797473247743073), (3, -0.06757247176932825)]",0,0,True
output/skgrid_gr2/,0.3,DP,"[(0, -3), (1, -3), (2, -3), (3, -2)]",0,2,False
output/skgrid_gr2/,0.3,KL,"[(0, 0.7103981171740162), (2, 1.1426850793411727), (1, 1.1433341670693693), (3, 2.157148637429191)]",0,0,True
output/skgrid_gr2/,0.3,KL2,"[(0, 0.7103519031477706), (2, 1.1426371143911915), (1, 1.1432861884214507), (3, 2.157096811068335)]",0,0,True
output/skgrid_gr2/,0.5,MaxUtil,"[(0, -0.47038975999985977), (2, -0.19284439499062514), (3, -0.08041171876104887), (1, -0.030093673640154552)]",0,0,True
output/skgrid_gr2/,0.5,DP,"[(0, -5), (1, -5), (3, -4), (2, -2)]",0,1,False
output/skgrid_gr2/,0.5,KL,"[(0, 0.87065139525313), (1, 1.136607193129882), (2, 1.5164446539425582), (3, 1.6640453277102616)]",0,0,True
output/skgrid_gr2/,0.5,KL2,"[(0, 0.8706066034810265), (1, 1.1365613160917611), (2, 1.5163973694003823), (3, 1.663997351636817)]",0,0,True
output/skgrid_gr2/,0.7,MaxUtil,"[(0, -0.6621337599999992), (2, -0.2694428095558405), (3, -0.1377551425537574), (1, -0.042370643131602104)]",0,0,True
output/skgrid_gr2/,0.7,DP,"[(0, -7), (1, -7), (2, -7), (3, -5)]",0,2,False
output/skgrid_gr2/,0.7,KL,"[(0, 0.6819934354738946), (1, 1.1078995973392327), (2, 1.153489112492588), (3, 1.8205387275601246)]",0,0,True
output/skgrid_gr2/,0.7,KL2,"[(0, 0.6819458659158322), (1, 1.1078502180965575), (2, 1.1534395683985983), (3, 1.8204865158942238)]",0,0,True
output/skgrid_gr2/,1.0,MaxUtil,"[(0, -1.666229759999859), (2, -0.6703893711106415), (3, -0.14476833573255335), (1, -0.1064583675548161)]",0,0,True
output/skgrid_gr2/,1.0,DP,"[(0, -9), (1, -9), (3, -6), (2, -2)]",0,1,False
output/skgrid_gr2/,1.0,KL,"[(0, 0.716731392915508), (1, 1.1238804009818075), (2, 1.3704531959204276), (3, 2.0124581250472264)]",0,0,True
output/skgrid_gr2/,1.0,KL2,"[(0, 0.7166834110807198), (1, 1.1238307017218943), (2, 1.3704025820542294), (3, 2.0124049556672983)]",0,0,True
output/skgrid_gr3/,0.1,MaxUtil,"[(0, -0.06399899782351225), (3, -0.06345781539877941), (2, -0.00019050403045688176), (1, -0.00017891711318281458)]",0,0,True
output/skgrid_gr3/,0.1,DP,"[(0, -1), (3, -1), (1, 0), (2, 0)]",0,3,False
output/skgrid_gr3/,0.1,KL,"[(0, 1.214127698292581), (3, 1.2204598594018827), (2, 4.2316750145965925), (1, 4.309468742237514)]",0,0,True
output/skgrid_gr3/,0.1,KL2,"[(0, 1.214068863297282), (3, 1.2204009970802998), (2, 4.231604626266758), (1, 4.309398034188728)]",0,0,True
output/skgrid_gr3/,0.3,MaxUtil,"[(0, -0.425599999999147), (3, -0.031873383776941835), (1, -0.0014003639833629132), (2, -0.0006506968525103293)]",0,0,True
output/skgrid_gr3/,0.3,DP,"[(0, -2), (3, -1), (1, 0), (2, 0)]",0,0,True
output/skgrid_gr3/,0.3,KL,"[(0, 0.8073295913578916), (3, 2.420356774326819), (1, 2.7722409068200973), (2, 4.989573040965076)]",0,0,True
output/skgrid_gr3/,0.3,KL2,"[(0, 0.8072805218176863), (3, 2.4203015123457456), (1, 2.7721839574770595), (2, 4.9895081633326415)]",0,0,True
output/skgrid_gr3/,0.5,MaxUtil,"[(0, -1.1855999871728362), (3, -0.0494946040563812), (1, -0.0014827924008354338), (2, -0.0006832554858003972)]",0,0,True
output/skgrid_gr3/,0.5,DP,"[(0, -3), (3, -1), (1, 0), (2, 0)]",0,0,True
output/skgrid_gr3/,0.5,KL,"[(0, 0.6712426026859933), (1, 2.768003902568367), (3, 2.9325536566179817), (2, 6.015556909786912)]",0,0,True
output/skgrid_gr3/,0.5,KL2,"[(0, 0.6711967928566475), (1, 2.7679498264432545), (3, 2.9324993588619552), (2, 6.015491540541537)]",0,0,True
output/skgrid_gr3/,0.7,MaxUtil,"[(0, -1.6495989849963482), (3, -0.11922598957114686), (1, -0.0024106101838292813), (2, -0.0008781474399480343)]",0,0,True
output/skgrid_gr3/,0.7,DP,"[(0, -5), (3, -2), (1, 0), (2, 0)]",0,0,True
output/skgrid_gr3/,0.7,KL,"[(0, 0.725677977073236), (3, 2.728942094658782), (1, 2.8584282729984025), (2, 5.676601321284857)]",0,0,True
output/skgrid_gr3/,0.7,KL2,"[(0, 0.7256308633748736), (3, 2.728887405749173), (1, 2.858372793026763), (2, 5.676535961258892)]",0,0,True
output/skgrid_gr3/,1.0,MaxUtil,"[(0, -1.6598389849963482), (3, -0.12946598791149644), (1, -0.004048993547140701), (2, -0.002516537760098027)]",0,0,True
output/skgrid_gr3/,1.0,DP,"[(0, -6), (3, -3), (1, 0), (2, 0)]",0,0,True
output/skgrid_gr3/,1.0,KL,"[(0, 0.8070856311779658), (3, 2.4764723624477316), (1, 3.025022478318622), (2, 5.373498983054895)]",0,0,True
output/skgrid_gr3/,1.0,KL2,"[(0, 0.807036563918866), (3, 2.476416982513937), (1, 3.0249646765862033), (2, 5.373432947947983)]",0,0,True
output/skgrid_gr4/,0.1,MaxUtil,"[(0, -1.0255894868710334), (3, -0.24783665203067765), (1, -0.12065057021591967), (2, -0.011087406180823722)]",0,0,True
output/skgrid_gr4/,0.1,DP,"[(0, -2), (1, -1), (2, -1), (3, -1)]",0,0,True
output/skgrid_gr4/,0.1,KL,"[(0, 0.384314661860768), (3, 2.0832774668682768), (1, 2.408988047332431), (2, 3.794254242835123)]",0,0,True
output/skgrid_gr4/,0.1,KL2,"[(0, 0.38427551773822816), (3, 2.0832318460562496), (1, 2.408940757360983), (2, 3.794202931571371)]",0,0,True
output/skgrid_gr4/,0.3,MaxUtil,"[(0, -1.0654358917398123), (3, -0.4983362736838125), (1, -0.16932328112285133), (2, -0.028441711811504507)]",0,0,True
output/skgrid_gr4/,0.3,DP,"[(0, -4), (1, -3), (3, -3), (2, -1)]",0,0,True
output/skgrid_gr4/,0.3,KL,"[(0, 0.7583384116050822), (3, 1.565823970266194), (1, 1.7365649413429156), (2, 3.277722837075623)]",0,0,True
output/skgrid_gr4/,0.3,KL2,"[(0, 0.758301406676075), (3, 1.5657839586043174), (1, 1.7365240477862067), (2, 3.277676844139293)]",0,0,True
output/skgrid_gr4/,0.5,MaxUtil,"[(3, -1.2296197091025625), (1, -0.5994482979496897), (0, -0.5963555163775112), (2, -0.1260935495533529)]",0,3,False
output/skgrid_gr4/,0.5,DP,"[(0, -6), (1, -6), (2, -5), (3, -5)]",0,1,False
output/skgrid_gr4/,0.5,KL,"[(0, 0.5961207212505775), (3, 0.648187853198477), (1, 1.0915282794913608), (2, 1.7186049556168523)]",0,0,True
output/skgrid_gr4/,0.5,KL2,"[(0, 0.5960832961324712), (3, 0.8734481981833602), (1, 1.0914883616168887), (2, 1.7185636462925187)]",0,0,True
output/skgrid_gr4/,0.7,MaxUtil,"[(3, -1.7479830013213975), (0, -1.6640500646754195), (1, -0.7675086072037113), (2, -0.12552863769380332)]",0,3,False
output/skgrid_gr4/,0.7,DP,"[(0, -9), (3, -7), (1, -2), (2, -1)]",0,0,True
output/skgrid_gr4/,0.7,KL,"[(0, 0.642811178155348), (3, 1.0626127406400419), (1, 1.6040779211480545), (2, 3.02807915129905)]",0,0,True
