accuracy,fscore,metric,obs,precision,recall
0.9,0.8000000000000002,MaxUtil,0.1,0.8,0.8
0.9,0.8000000000000002,MaxUtil,0.3,0.8,0.8
0.9,0.8000000000000002,MaxUtil,0.5,0.8,0.8
0.95,0.9,MaxUtil,0.7,0.9,0.9
0.9,0.8000000000000002,MaxUtil,1.0,0.8,0.8
0.775,0.608695652173913,DP,0.1,0.5384615384615384,0.7
0.925,0.8571428571428572,DP,0.3,0.8181818181818182,0.9
0.85,0.7272727272727272,DP,0.5,0.6666666666666666,0.8
0.925,0.8571428571428572,DP,0.7,0.8181818181818182,0.9
0.925,0.8571428571428572,DP,1.0,0.8181818181818182,0.9
0.95,0.9,KL,0.1,0.9,0.9
0.95,0.9,KL,0.3,0.9,0.9
0.85,0.7,KL,0.5,0.7,0.7
1.0,1.0,KL,0.7,1.0,1.0
1.0,1.0,KL,1.0,1.0,1.0
