accuracy,fscore,metric,obs,precision,recall
0.5,0.0909090909090909,goalcompletion,0.1,0.08333333333333333,0.1
0.625,0.34782608695652173,goalcompletion,0.3,0.3076923076923077,0.4
0.725,0.47619047619047616,goalcompletion,0.5,0.45454545454545453,0.5
0.875,0.7826086956521738,goalcompletion,0.7,0.6923076923076923,0.9
0.825,0.7407407407407407,goalcompletion,1.0,0.5882352941176471,1.0
0.6,0.20000000000000004,uniqueness,0.1,0.2,0.2
0.65,0.3,uniqueness,0.3,0.3,0.3
0.725,0.47619047619047616,uniqueness,0.5,0.45454545454545453,0.5
0.875,0.7826086956521738,uniqueness,0.7,0.6923076923076923,0.9
0.825,0.7407407407407407,uniqueness,1.0,0.5882352941176471,1.0
0.5,0.0909090909090909,filter,0.1,0.08333333333333333,0.1
0.725,0.47619047619047616,filter,0.3,0.45454545454545453,0.5
0.775,0.5714285714285713,filter,0.5,0.5454545454545454,0.6
1.0,1.0,filter,0.7,1.0,1.0
1.0,1.0,filter,1.0,1.0,1.0
