accuracy,fscore,metric,obs,precision,recall
0.775,0.5714285714285713,MaxUtil,0.1,0.5454545454545454,0.6
0.8,0.6363636363636365,MaxUtil,0.3,0.5833333333333334,0.7
0.875,0.761904761904762,MaxUtil,0.5,0.7272727272727273,0.8
0.85,0.7272727272727272,MaxUtil,0.7,0.6666666666666666,0.8
0.925,0.8571428571428572,MaxUtil,1.0,0.8181818181818182,0.9
0.625,0.4,DP,0.1,0.3333333333333333,0.5
0.7,0.5,DP,0.3,0.42857142857142855,0.6
0.775,0.608695652173913,DP,0.5,0.5384615384615384,0.7
0.775,0.608695652173913,DP,0.7,0.5384615384615384,0.7
0.85,0.7272727272727272,DP,1.0,0.6666666666666666,0.8
0.825,0.6666666666666666,KL,0.1,0.6363636363636364,0.7
0.9,0.8000000000000002,KL,0.3,0.8,0.8
1.0,1.0,KL,0.5,1.0,1.0
0.9,0.8000000000000002,KL,0.7,0.8,0.8
0.95,0.9,KL,1.0,0.9,0.9
