accuracy,fscore,metric,obs,precision,recall
0.55,0.3076923076923077,goalcompletion,0.1,0.25,0.4
0.675,0.4347826086956522,goalcompletion,0.3,0.38461538461538464,0.5
0.675,0.4347826086956522,goalcompletion,0.5,0.38461538461538464,0.5
0.725,0.56,goalcompletion,0.7,0.4666666666666667,0.7
0.625,0.4444444444444445,goalcompletion,1.0,0.35294117647058826,0.6
0.475,0.0,uniqueness,0.1,0.0,0.0
0.625,0.28571428571428564,uniqueness,0.3,0.2727272727272727,0.3
0.625,0.28571428571428564,uniqueness,0.5,0.2727272727272727,0.3
0.675,0.4347826086956522,uniqueness,0.7,0.38461538461538464,0.5
0.625,0.34782608695652173,uniqueness,1.0,0.3076923076923077,0.4
0.55,0.3076923076923077,filter,0.1,0.25,0.4
0.725,0.5217391304347826,filter,0.3,0.46153846153846156,0.6
0.825,0.6956521739130435,filter,0.5,0.6153846153846154,0.8
0.825,0.6956521739130435,filter,0.7,0.6153846153846154,0.8
0.875,0.7826086956521738,filter,1.0,0.6923076923076923,0.9
