accuracy,fscore,metric,obs,precision,recall
0.8,0.6,MaxUtil,0.1,0.6,0.6
0.85,0.7,MaxUtil,0.3,0.7,0.7
0.75,0.5,MaxUtil,0.5,0.5,0.5
0.85,0.7,MaxUtil,0.7,0.7,0.7
0.95,0.9,MaxUtil,1.0,0.9,0.9
0.375,0.19354838709677416,DP,0.1,0.14285714285714285,0.3
0.5,0.2857142857142857,DP,0.3,0.2222222222222222,0.4
0.5,0.2857142857142857,DP,0.5,0.2222222222222222,0.4
0.65,0.4615384615384615,DP,0.7,0.375,0.6
0.775,0.608695652173913,DP,1.0,0.5384615384615384,0.7
0.85,0.7,KL,0.1,0.7,0.7
0.95,0.9,KL,0.3,0.9,0.9
0.9,0.8000000000000002,KL,0.5,0.8,0.8
0.9,0.8000000000000002,KL,0.7,0.8,0.8
1.0,1.0,KL,1.0,1.0,1.0
