accuracy,fscore,metric,obs,precision,recall
0.4,0.33333333333333337,goalcompletion,0.1,0.23076923076923078,0.6
0.5,0.4117647058823529,goalcompletion,0.3,0.2916666666666667,0.7
0.625,0.4,goalcompletion,0.5,0.3333333333333333,0.5
0.55,0.4375,goalcompletion,0.7,0.3181818181818182,0.7
0.75,0.6428571428571429,goalcompletion,1.0,0.5,0.9
0.425,0.34285714285714286,uniqueness,0.1,0.24,0.6
0.45,0.3888888888888889,uniqueness,0.3,0.2692307692307692,0.7
0.625,0.4,uniqueness,0.5,0.3333333333333333,0.5
0.55,0.4375,uniqueness,0.7,0.3181818181818182,0.7
0.775,0.6666666666666667,uniqueness,1.0,0.5294117647058824,0.9
0.4,0.33333333333333337,filter,0.1,0.23076923076923078,0.6
0.5,0.4117647058823529,filter,0.3,0.2916666666666667,0.7
0.625,0.4,filter,0.5,0.3333333333333333,0.5
0.55,0.4375,filter,0.7,0.3181818181818182,0.7
0.75,0.6428571428571429,filter,1.0,0.5,0.9
